Zeit;Kanal A
(ms);(mV)

-23,34749909;0,00000000
-23,34249909;0,00000000
-23,33749909;-0,37278540
-23,33249909;0,18639270
-23,32749909;-0,18639270
-23,32249909;-0,74618600
-23,31749909;-1,67999500
-23,31249909;-2,23978800
-23,30749909;-1,30659400
-23,30249909;-1,67999500
-23,29749909;-2,05339600
-23,29249910;-2,42679600
-23,28749910;-2,61318900
-23,28249910;-1,11958700
-23,27749910;-1,86638800
-23,27249910;-2,61318900
-23,26749910;-1,86638800
-23,26249910;-2,05339600
-23,25749910;-1,67999500
-23,25249910;-2,05339600
-23,24749910;-2,05339600
-23,24249910;-1,11958700
-23,23749910;-1,86638800
-23,23249910;-1,67999500
-23,22749910;-1,30659400
-23,22249910;-1,67999500
-23,21749910;-1,86638800
-23,21249910;-1,11958700
-23,20749910;-1,11958700
-23,20249910;-1,30659400
-23,19749910;-1,30659400
-23,19249910;-1,11958700
-23,18749910;-0,37278540
-23,18249910;-1,11958700
-23,17749910;-1,11958700
-23,17249910;-0,74618600
-23,16749910;-1,49298700
-23,16249910;-1,86638800
-23,15749910;-1,30659400
-23,15249910;-1,30659400
-23,14749910;-0,37278540
-23,14249910;-0,74618600
-23,13749910;-0,93319390
-23,13249910;-1,11958700
-23,12749910;0,00000000
-23,12249910;-0,55979330
-23,11749910;-1,11958700
-23,11249910;-1,11958700
-23,10749910;-0,74618600
-23,10249910;-0,93319390
-23,09749910;-0,93319390
-23,09249910;0,00000000
-23,08749910;-0,74618600
-23,08249910;-1,86638800
-23,07749910;-1,11958700
-23,07249910;-1,30659400
-23,06749910;-2,05339600
-23,06249910;-1,30659400
-23,05749910;-1,49298700
-23,05249910;-1,11958700
-23,04749910;-1,30659400
-23,04249910;-1,11958700
-23,03749910;-0,93319390
-23,03249910;-1,30659400
-23,02749910;-1,30659400
-23,02249910;-1,11958700
-23,01749910;-1,30659400
-23,01249910;-1,30659400
-23,00749910;-1,30659400
-23,00249910;-1,49298700
-22,99749910;-1,11958700
-22,99249910;-1,11958700
-22,98749910;-1,67999500
-22,98249910;-0,74618600
-22,97749910;-0,37278540
-22,97249910;-0,93319390
-22,96749910;-0,74618600
-22,96249910;-0,37278540
-22,95749910;-0,37278540
-22,95249910;0,00000000
-22,94749910;-0,74618600
-22,94249910;-0,74618600
-22,93749910;-0,55979330
-22,93249910;0,18639270
-22,92749910;-0,74618600
-22,92249910;-0,93319390
-22,91749910;-0,93319390
-22,91249910;-0,37278540
-22,90749910;-1,30659400
-22,90249910;-0,37278540
-22,89749910;-0,55979330
-22,89249911;-0,93319390
-22,88749911;-1,11958700
-22,88249911;-0,74618600
-22,87749911;-1,67999500
-22,87249911;-1,67999500
-22,86749911;-1,67999500
-22,86249911;-1,30659400
-22,85749911;-1,49298700
-22,85249911;-1,30659400
-22,84749911;-2,23978800
-22,84249911;-1,67999500
-22,83749911;-0,93319390
-22,83249911;-0,55979330
-22,82749911;-1,30659400
-22,82249911;-0,37278540
-22,81749911;-1,11958700
-22,81249911;-0,93319390
-22,80749911;-0,18639270
-22,80249911;0,00000000
-22,79749911;-0,74618600
-22,79249911;0,00000000
-22,78749911;-0,37278540
-22,78249911;-0,18639270
-22,77749911;0,55979330
-22,77249911;0,00000000
-22,76749911;0,74618600
-22,76249911;0,18639270
-22,75749911;2,05339600
-22,75249911;1,86638800
-22,74749911;1,49298700
-22,74249911;1,86638800
-22,73749911;1,49298700
-22,73249911;1,49298700
-22,72749911;2,05339600
-22,72249911;2,05339600
-22,71749911;2,98658900
-22,71249911;2,80019700
-22,70749911;2,98658900
-22,70249911;3,35999000
-22,69749911;3,73339100
-22,69249911;2,80019700
-22,68749911;2,98658900
-22,68249911;4,29379900
-22,67749911;2,61318900
-22,67249911;2,05339600
-22,66749911;3,17359700
-22,66249911;1,86638800
-22,65749911;4,10679100
-22,65249911;1,67999500
-22,64749911;1,86638800
-22,64249911;1,86638800
-22,63749911;1,86638800
-22,63249911;2,23978800
-22,62749911;2,05339600
-22,62249911;2,05339600
-22,61749911;3,17359700
-22,61249911;2,42679600
-22,60749911;3,17359700
-22,60249911;2,98658900
-22,59749911;3,73339100
-22,59249911;2,98658900
-22,58749911;2,61318900
-22,58249911;1,86638800
-22,57749911;0,93319390
-22,57249911;1,49298700
-22,56749911;1,86638800
-22,56249911;1,49298700
-22,55749911;1,30659400
-22,55249911;0,55979330
-22,54749911;-0,18639270
-22,54249911;0,18639270
-22,53749911;0,00000000
-22,53249911;-0,37278540
-22,52749911;-0,37278540
-22,52249911;0,37278540
-22,51749911;0,18639270
-22,51249911;-0,18639270
-22,50749911;-0,18639270
-22,50249911;0,55979330
-22,49749912;-0,37278540
-22,49249912;0,93319390
-22,48749912;0,55979330
-22,48249912;1,30659400
-22,47749912;1,11958700
-22,47249912;1,67999500
-22,46749912;0,55979330
-22,46249912;1,11958700
-22,45749912;0,18639270
-22,45249912;0,74618600
-22,44749912;1,49298700
-22,44249912;1,30659400
-22,43749912;0,93319390
-22,43249912;1,49298700
-22,42749912;0,55979330
-22,42249912;0,93319390
-22,41749912;1,11958700
-22,41249912;1,49298700
-22,40749912;1,11958700
-22,40249912;1,49298700
-22,39749912;1,49298700
-22,39249912;2,42679600
-22,38749912;1,49298700
-22,38249912;1,86638800
-22,37749912;1,86638800
-22,37249912;0,55979330
-22,36749912;0,93319390
-22,36249912;1,67999500
-22,35749912;1,86638800
-22,35249912;2,05339600
-22,34749912;1,67999500
-22,34249912;1,49298700
-22,33749912;2,23978800
-22,33249912;2,05339600
-22,32749912;2,23978800
-22,32249912;2,23978800
-22,31749912;1,86638800
-22,31249912;1,86638800
-22,30749912;2,42679600
-22,30249912;2,61318900
-22,29749912;2,61318900
-22,29249912;3,35999000
-22,28749912;2,42679600
-22,28249912;2,61318900
-22,27749912;2,23978800
-22,27249912;2,98658900
-22,26749912;2,42679600
-22,26249912;2,23978800
-22,25749912;2,05339600
-22,25249912;2,80019700
-22,24749912;2,98658900
-22,24249912;2,23978800
-22,23749912;2,98658900
-22,23249912;2,98658900
-22,22749912;2,98658900
-22,22249912;2,98658900
-22,21749912;4,48019200
-22,21249912;3,73339100
-22,20749912;3,92039800
-22,20249912;3,73339100
-22,19749912;3,92039800
-22,19249912;4,29379900
-22,18749912;3,92039800
-22,18249912;1,86638800
-22,17749912;3,92039800
-22,17249912;3,92039800
-22,16749912;2,80019700
-22,16249912;3,17359700
-22,15749912;2,42679600
-22,15249912;2,42679600
-22,14749912;2,42679600
-22,14249912;1,67999500
-22,13749912;1,11958700
-22,13249912;1,11958700
-22,12749912;0,93319390
-22,12249912;0,74618600
-22,11749912;0,55979330
-22,11249912;0,55979330
-22,10749912;-0,37278540
-22,10249913;0,18639270
-22,09749913;-0,18639270
-22,09249913;0,00000000
-22,08749913;-0,55979330
-22,08249913;-0,74618600
-22,07749913;0,00000000
-22,07249913;-0,93319390
-22,06749913;0,55979330
-22,06249913;-0,74618600
-22,05749913;-1,11958700
-22,05249913;-1,11958700
-22,04749913;-1,30659400
-22,04249913;-1,11958700
-22,03749913;-2,05339600
-22,03249913;-2,23978800
-22,02749913;-2,05339600
-22,02249913;-1,67999500
-22,01749913;-2,23978800
-22,01249913;-2,23978800
-22,00749913;-2,23978800
-22,00249913;-1,11958700
-21,99749913;-2,23978800
-21,99249913;-1,49298700
-21,98749913;-2,05339600
-21,98249913;-2,80019700
-21,97749913;-2,05339600
-21,97249913;-1,86638800
-21,96749913;-1,67999500
-21,96249913;-1,30659400
-21,95749913;-1,11958700
