Zeit;Kanal A
(s);(V)

-4,96999966;2,94214400
-4,96989966;2,94214400
-4,96979966;2,94214400
-4,96969966;2,94214400
-4,96959966;2,94214400
-4,96949966;2,94214400
-4,96939966;2,98889600
-4,96929966;2,94214400
-4,96919966;2,98889600
-4,96909966;2,94214400
-4,96899966;2,94214400
-4,96889966;2,98889600
-4,96879966;2,94214400
-4,96869966;2,94214400
-4,96859966;2,94214400
-4,96849966;2,94214400
-4,96839966;2,94214400
-4,96829966;2,98889600
-4,96819966;2,94214400
-4,96809966;2,94214400
-4,96799966;2,94214400
-4,96789966;2,94214400
-4,96779966;2,98889600
-4,96769966;2,94214400
-4,96759966;2,98889600
-4,96749966;2,94214400
-4,96739966;2,98889600
-4,96729966;2,94214400
-4,96719966;2,98889600
-4,96709966;2,98889600
-4,96699966;2,94214400
-4,96689966;2,94214400
-4,96679966;2,98889600
-4,96669966;2,94214400
-4,96659966;2,98889600
-4,96649966;2,94214400
-4,96639966;2,94214400
-4,96629966;2,98889600
-4,96619966;2,98889600
-4,96609966;2,94214400
-4,96599966;2,98889600
-4,96589966;2,98889600
-4,96579966;2,98889600
-4,96569966;2,94214400
-4,96559966;2,98889600
-4,96549966;2,94214400
-4,96539966;2,98889600
-4,96529966;2,98889600
-4,96519966;2,98889600
-4,96509966;2,94214400
-4,96499966;2,98889600
-4,96489966;2,98889600
-4,96479966;2,98889600
-4,96469966;2,98889600
-4,96459966;2,98889600
-4,96449966;2,98889600
-4,96439966;2,98889600
-4,96429966;2,98889600
-4,96419966;2,94214400
-4,96409966;2,94214400
-4,96399966;2,98889600
-4,96389966;2,98889600
-4,96379966;2,98889600
-4,96369966;2,98889600
-4,96359966;2,98889600
-4,96349966;2,94214400
-4,96339966;2,98889600
-4,96329966;2,98889600
-4,96319966;2,98889600
-4,96309966;2,98889600
-4,96299966;2,94214400
-4,96289966;2,94214400
-4,96279966;2,98889600
-4,96269966;2,98889600
-4,96259966;2,98889600
-4,96249966;2,98889600
-4,96239966;2,98889600
-4,96229966;2,98889600
-4,96219966;2,94214400
-4,96209966;2,94214400
-4,96199966;2,98889600
-4,96189966;2,98889600
-4,96179966;2,98889600
-4,96169966;2,98889600
-4,96159966;2,98889600
-4,96149966;2,98889600
-4,96139966;2,98889600
-4,96129966;2,98889600
-4,96119966;2,98889600
-4,96109966;2,98889600
-4,96099966;2,98889600
-4,96089966;2,94214400
-4,96079966;2,98889600
-4,96069966;2,98889600
-4,96059966;2,98889600
-4,96049966;2,98889600
-4,96039966;2,98889600
-4,96029966;2,94214400
-4,96019966;2,98889600
-4,96009966;2,98889600
-4,95999966;2,98889600
-4,95989966;2,98889600
-4,95979966;2,98889600
-4,95969966;2,98889600
-4,95959966;2,98889600
-4,95949966;2,98889600
-4,95939966;2,98889600
-4,95929966;2,98889600
-4,95919966;2,98889600
-4,95909966;2,98889600
-4,95899966;2,98889600
-4,95889966;2,98889600
-4,95879966;2,98889600
-4,95869966;2,98889600
-4,95859966;2,98889600
-4,95849966;2,98889600
-4,95839966;2,98889600
-4,95829966;2,98889600
-4,95819966;2,98889600
-4,95809966;2,98889600
-4,95799966;2,98889600
-4,95789966;2,98889600
-4,95779966;2,98889600
-4,95769966;2,98889600
-4,95759966;2,98889600
-4,95749966;2,98889600
-4,95739966;2,98889600
-4,95729966;2,98889600
-4,95719966;2,98889600
-4,95709966;2,98889600
-4,95699966;2,98889600
-4,95689966;2,98889600
-4,95679966;2,98889600
